created_at,entry_id,TEMPERATURE,TURBIDITY,DISOLVED OXYGEN,pH,AMMONIA,NITRATE,Population,Length,Weight
2021-06-25 15:14:09 CET,1,27,100,0,6.05951,0.00013,90,50,14.64,28.6
2021-06-25 15:14:28 CET,2,27,100,1.027,6.00049,0,201,50,14.64,28.6
2021-06-25 15:14:53 CET,3,27,100,0,6.07766,1E-05,112,50,14.64,28.6
2021-06-25 15:15:49 CET,4,27,100,0,6.05043,0.00012,153,50,14.64,28.6
2021-06-25 15:18:36 CET,5,27,100,0,6.06858,0.00027,272,50,14.64,28.6
2021-06-25 15:18:56 CET,6,27.0625,100,2.12,6.05043,0,203,50,14.64,28.6
2021-06-25 15:19:16 CET,7,27,100,6.599,6.05043,0.00039,205,50,14.64,28.6
2021-06-25 15:20:12 CET,8,27.0625,100,0,6.05043,0.00016,172,50,14.64,28.6
2021-06-25 15:20:32 CET,9,27.0625,100,0.484,6.05951,0,180,50,14.64,28.6
2021-06-25 15:20:51 CET,10,27.0625,100,12.366,6.04135,3E-05,256,50,14.64,28.6
2021-06-25 15:21:11 CET,11,27,100,18.98,6.05951,0.00022,274,50,14.64,28.6
2021-06-25 15:21:31 CET,12,27,100,17.852,6.04135,0.00127,178,50,14.64,28.6
2021-06-25 15:21:50 CET,13,27,100,0.897,6.03681,2E-05,294,50,14.64,28.6
2021-06-25 15:22:10 CET,14,27,100,0.868,6.03681,0.00045,154,50,14.64,28.6
2021-06-25 15:22:29 CET,15,27.0625,100,1.642,6.0822,2E-05,207,50,14.64,28.6
2021-06-25 15:23:27 CET,16,27.0625,100,0,6.05951,0,226,50,14.64,28.6
2021-06-25 15:23:48 CET,17,27.0625,100,0,6.0822,0,238,50,14.64,28.6
2021-06-25 15:24:44 CET,18,27.0625,100,4.66,6.05497,1E-05,144,50,14.64,28.6
2021-06-25 15:25:04 CET,19,27,100,0,6.08674,1E-05,219,50,14.64,28.6
2021-06-25 15:25:23 CET,20,27.0625,100,0,5.95056,2E-05,202,50,14.64,28.6
2021-06-25 15:25:53 CET,21,27.0625,100,0,6.19569,0,143,50,14.64,28.6
2021-06-25 15:26:13 CET,22,27.0625,100,0,6.05951,2E-05,173,50,14.64,28.6
2021-06-25 15:26:33 CET,23,27.0625,100,0,6.21385,1E-05,159,50,14.64,28.6
2021-06-25 15:28:43 CET,24,27.0625,100,15.898,6.04135,0.00072,162,50,14.64,28.6
2021-06-25 15:29:03 CET,25,27.0625,100,0.361,6.04135,1E-05,155,50,14.64,28.6
2021-06-25 15:29:22 CET,26,27.0625,100,0,6.05043,1E-05,144,50,14.64,28.6
10/10/2021,27,27,100,0,6.05951,0.00013,90,50,32.01,275.9
10/10/2021,28,27,100,1.027,6.00049,0,201,50,32.01,275.9
10/10/2021,29,27,100,0,6.07766,1E-05,112,50,32.01,275.9
10/10/2021,30,27,100,0,6.05043,0.00012,153,50,32.01,275.9
10/10/2021,31,27,100,0,6.06858,0.00027,272,50,32.01,275.9
10/10/2021,32,27.0625,100,2.12,6.05043,0,203,50,32.01,275.9
10/10/2021,33,27,100,6.599,6.05043,0.00039,205,50,32.01,275.9
10/10/2021,34,27.0625,100,0,6.05043,0.00016,172,50,32.01,275.9
10/10/2021,35,27.0625,100,0.484,6.05951,0,180,50,32.01,275.9
10/10/2021,36,27.0625,100,12.366,6.04135,3E-05,256,50,32.01,275.9
10/10/2021,37,27,100,18.98,6.05951,0.00022,274,50,32.01,275.9
10/10/2021,38,27,100,17.852,6.04135,0.00127,178,50,32.01,275.9
